timestamp,log_level,component,message,log_file
2025-03-17 14:34:16.472,INFO,app,Configuration: '/open5gs/install/etc/open5gs/pcrf.yaml' (../lib/app/ogs-init.c:144),pcrf.log
2025-03-17 14:34:16.472,INFO,app,File Logging: '/open5gs/install/var/log/open5gs/pcrf.log' (../lib/app/ogs-init.c:147),pcrf.log
2025-03-17 14:34:16.474,INFO,dbi,MongoDB URI: 'mongodb://172.22.0.2/open5gs' (../lib/dbi/ogs-mongoc.c:130),pcrf.log
2025-03-17 14:34:16.508,INFO,app,Polling freeDiameter stats every 60000000 usecs (../lib/diameter/common/stats.c:77),pcrf.log
2025-03-17 14:34:16.508,INFO,app,PCRF initialize...done (../src/pcrf/app-init.c:31),pcrf.log
2025-03-17 14:34:16.511,INFO,diam,"CONNECTED TO 'smf.epc.mnc001.mcc001.3gppnetwork.org' (SCTP,soc#15): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-17 14:34:28.448,INFO,diam,"CONNECTED TO 'pcscf.ims.mnc001.mcc001.3gppnetwork.org' (TCP,soc#11): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-17 17:12:11.787,INFO,app,Configuration: '/open5gs/install/etc/open5gs/pcrf.yaml' (../lib/app/ogs-init.c:144),pcrf.log
2025-03-17 17:12:11.787,INFO,app,File Logging: '/open5gs/install/var/log/open5gs/pcrf.log' (../lib/app/ogs-init.c:147),pcrf.log
2025-03-17 17:12:11.788,INFO,dbi,MongoDB URI: 'mongodb://172.22.0.2/open5gs' (../lib/dbi/ogs-mongoc.c:130),pcrf.log
2025-03-17 17:12:11.814,INFO,app,Polling freeDiameter stats every 60000000 usecs (../lib/diameter/common/stats.c:77),pcrf.log
2025-03-17 17:12:11.815,INFO,app,PCRF initialize...done (../src/pcrf/app-init.c:31),pcrf.log
2025-03-17 17:12:11.816,INFO,diam,"CONNECTED TO 'smf.epc.mnc001.mcc001.3gppnetwork.org' (SCTP,soc#15): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-17 17:12:22.820,INFO,diam,"CONNECTED TO 'pcscf.ims.mnc001.mcc001.3gppnetwork.org' (TCP,soc#13): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-18 10:51:02.063,INFO,app,Configuration: '/open5gs/install/etc/open5gs/pcrf.yaml' (../lib/app/ogs-init.c:144),pcrf.log
2025-03-18 10:51:02.063,INFO,app,File Logging: '/open5gs/install/var/log/open5gs/pcrf.log' (../lib/app/ogs-init.c:147),pcrf.log
2025-03-18 10:51:02.064,INFO,dbi,MongoDB URI: 'mongodb://172.22.0.2/open5gs' (../lib/dbi/ogs-mongoc.c:130),pcrf.log
2025-03-18 10:51:02.083,INFO,app,Polling freeDiameter stats every 60000000 usecs (../lib/diameter/common/stats.c:77),pcrf.log
2025-03-18 10:51:02.083,INFO,app,PCRF initialize...done (../src/pcrf/app-init.c:31),pcrf.log
2025-03-18 10:51:02.085,INFO,diam,"CONNECTED TO 'smf.epc.mnc001.mcc001.3gppnetwork.org' (SCTP,soc#16): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-18 10:51:13.183,INFO,diam,"CONNECTED TO 'pcscf.ims.mnc001.mcc001.3gppnetwork.org' (TCP,soc#14): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-18 10:51:51.178,ERROR,diam,pid:PSM/pcscf.ims.mnc001.mcc001.3gppnetwork.org in fd_psm_change_state@p_psm.c:284: 'STATE_OPEN'	-> 'STATE_CLOSED'	'pcscf.ims.mnc001.mcc001.3gppnetwork.org',pcrf.log
2025-03-18 10:52:44.275,INFO,diam,"CONNECTED TO 'pcscf.ims.mnc001.mcc001.3gppnetwork.org' (TCP,soc#15): (../lib/diameter/common/logger.c:81)",pcrf.log
2025-03-17 11:13:34.794,INFO,scp,NF EndPoint(addr) setup [172.22.0.7:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.795,INFO,scp,NF EndPoint(addr) setup [172.22.0.27:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.795,INFO,scp,NF EndPoint(addr) setup [172.22.0.29:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.796,INFO,scp,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.797,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NRF-discover) NF registered [type:NULL] (../lib/sbi/nnrf-handler.c:1245),scp.log
2025-03-17 11:13:34.797,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:34.797,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:34.797,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NF-discover) NF Profile updated [type:UDM validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:34.797,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.799,INFO,sbi,[8bb2652a-0315-41f0-91f7-d5edeb4bb7d4] (NRF-discover) NF registered [type:NULL] (../lib/sbi/nnrf-handler.c:1245),scp.log
2025-03-17 11:13:34.799,INFO,sbi,NF EndPoint(addr) setup [172.22.0.11:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:34.799,INFO,sbi,NF EndPoint(addr) setup [172.22.0.11:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:34.799,INFO,sbi,[8bb2652a-0315-41f0-91f7-d5edeb4bb7d4] (NF-discover) NF Profile updated [type:AUSF validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:34.799,INFO,scp,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.802,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.867,INFO,scp,NF EndPoint(addr) setup [172.22.0.11:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.867,INFO,scp,NF EndPoint(addr) setup [172.22.0.13:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.868,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.941,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.942,ERROR,scp,[8bb664c2-0315-41f0-90c2-e553c6bed893] Cannot find client [type:UDM target_nf_type:UDM service_name:nudm-sdm] (../src/scp/sbi-path.c:331),scp.log
2025-03-17 11:13:34.942,WARNING,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NRF-discover) NF has already been added [type:UDM] (../lib/sbi/nnrf-handler.c:1249),scp.log
2025-03-17 11:13:34.942,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:34.942,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:34.942,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:34.942,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:34.943,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:34.943,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NF-discover) NF Profile updated [type:UDM validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:34.943,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.944,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.945,INFO,scp,NF EndPoint(addr) setup [172.22.0.27:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:34.945,INFO,sbi,[91afa1e0-0315-41f0-86a0-0df79c76a94a] (NRF-discover) NF registered [type:NULL] (../lib/sbi/nnrf-handler.c:1245),scp.log
2025-03-17 11:13:34.945,INFO,sbi,NF EndPoint(addr) setup [172.22.0.14:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:34.945,INFO,sbi,NF EndPoint(addr) setup [172.22.0.14:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:34.945,INFO,sbi,[91afa1e0-0315-41f0-86a0-0df79c76a94a] (NF-discover) NF Profile updated [type:UDR validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:35.216,INFO,scp,NF EndPoint(addr) setup [172.22.0.7:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:35.217,WARNING,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NRF-discover) NF has already been added [type:UDM] (../lib/sbi/nnrf-handler.c:1249),scp.log
2025-03-17 11:13:35.217,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.217,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.217,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.217,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.218,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.218,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.218,INFO,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NF-discover) NF Profile updated [type:UDM validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:35.220,INFO,scp,NF EndPoint(addr) setup [172.22.0.14:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:35.222,INFO,scp,NF EndPoint(addr) setup [172.22.0.27:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:35.223,WARNING,sbi,[91afa1e0-0315-41f0-86a0-0df79c76a94a] (NRF-discover) NF has already been added [type:UDR] (../lib/sbi/nnrf-handler.c:1249),scp.log
2025-03-17 11:13:35.223,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.14:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.223,INFO,sbi,NF EndPoint(addr) setup [172.22.0.14:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.223,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.14:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.223,INFO,sbi,NF EndPoint(addr) setup [172.22.0.14:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.223,INFO,sbi,[91afa1e0-0315-41f0-86a0-0df79c76a94a] (NF-discover) NF Profile updated [type:UDR validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:35.224,INFO,sbi,[91a9faba-0315-41f0-907c-91c503a0cda6] (NRF-discover) NF registered [type:NULL] (../lib/sbi/nnrf-handler.c:1245),scp.log
2025-03-17 11:13:35.224,INFO,sbi,NF EndPoint(addr) setup [172.22.0.29:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.225,INFO,sbi,NF EndPoint(addr) setup [172.22.0.29:7777] (../lib/sbi/context.c:2089),scp.log
2025-03-17 11:13:35.225,INFO,sbi,[91a9faba-0315-41f0-907c-91c503a0cda6] (NF-discover) NF Profile updated [type:BSF validity:30s] (../lib/sbi/nnrf-handler.c:1290),scp.log
2025-03-17 11:13:35.304,INFO,scp,NF EndPoint(addr) setup [172.22.0.7:7777] (../src/scp/sbi-path.c:461),scp.log
2025-03-17 11:13:35.305,WARNING,sbi,[8bb664c2-0315-41f0-90c2-e553c6bed893] (NRF-discover) NF has already been added [type:UDM] (../lib/sbi/nnrf-handler.c:1249),scp.log
2025-03-17 11:13:35.305,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.305,INFO,sbi,NF EndPoint(addr) setup [172.22.0.13:80] (../lib/sbi/context.c:2350),scp.log
2025-03-17 11:13:35.305,WARNING,sbi,NF EndPoint(addr) updated [172.22.0.13:7777] (../lib/sbi/context.c:2089),scp.log
