timestamp,application,log_level,log_message
2025-03-19 20:27:58,sbi,INFO,"[4409b4f0-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.837510+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[4409c3aa-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.837756+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:58,sbi,INFO,NF EndPoint(addr) setup [172.22.0.12:7777] (../lib/sbi/nnrf-handler.c:949)
2025-03-19 20:27:58,sbi,INFO,"[4409da48-04f8-41f0-804f-4d2e000042da] Subscription created until 2025-03-20T20:27:58.839074+01:00 [duration:86400000000,validity:86400.000000,patch:43200.000000] (../lib/sbi/nnrf-handler.c:868)"
2025-03-19 20:27:59,sbi,INFO,[443cddd0-04f8-41f0-ac3a-5b68e78b970d] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:27:59,sbi,INFO,[443cddd0-04f8-41f0-ac3a-5b68e78b970d] (NRF-notify) NF Profile updated [type:NSSF] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.28:80] (../lib/sbi/context.c:2350)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.28:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:27:59,sbi,INFO,[44529882-04f8-41f0-aa5d-215cd018d657] (NRF-notify) NF registered (../lib/sbi/nnrf-handler.c:1133)
2025-03-19 20:27:59,sbi,INFO,[44529882-04f8-41f0-aa5d-215cd018d657] (NRF-notify) NF Profile updated [type:UDM] (../lib/sbi/nnrf-handler.c:1147)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.13:80] (../lib/sbi/context.c:2350)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089)
2025-03-19 20:27:59,sbi,INFO,NF EndPoint(addr) setup [172.22.0.13:7777] (../lib/sbi/context.c:2089)
